treat,age,educ,black,hispan,married,nodegree,re74,re75,re78,propensity_score
1,0.9760633830018992,0.2784536417355966,1,0,1,1,-0.7041197093846422,-0.663511106652054,9930.046,0.6186511630472895
1,-0.5432105324024425,-0.4831077659510688,0,1,0,1,-0.7041197093846422,-0.663511106652054,3595.894,0.20979238359512073
1,0.2670688891465396,0.6592343455789293,1,0,0,0,-0.7041197093846422,-0.663511106652054,24909.45,0.6668176818812891
1,-0.0367858939343287,0.2784536417355966,1,0,0,1,-0.7041197093846422,-0.663511106652054,7506.146,0.7573597902002462
1,0.570923672227408,-0.8638884697944016,1,0,0,1,-0.7041197093846422,-0.663511106652054,289.7899,0.6888898528662282
1,-0.5432105324024425,-0.4831077659510688,1,0,0,1,-0.7041197093846422,-0.663511106652054,4056.494,0.687641651847166
1,-0.4419256047088198,0.6592343455789293,1,0,0,0,-0.7041197093846422,-0.663511106652054,0.0,0.6457231110249492
1,-0.5432105324024425,2.1823571609522605,1,0,0,0,-0.7041197093846422,-0.663511106652054,2164.022,0.7598016900480111
1,0.570923672227408,0.6592343455789293,0,0,1,0,-0.7041197093846422,-0.663511106652054,12418.07,0.053856564706680626
1,-0.8470653154833109,-0.4831077659510688,1,0,0,1,-0.7041197093846422,-0.663511106652054,8173.908,0.6789673953762784
1,-0.6444954600960654,1.0400150494222622,1,0,0,0,-0.7041197093846422,-0.663511106652054,17094.64,0.6714462349753886
1,-0.9483502431769336,-0.8638884697944016,1,0,0,1,-0.7041197093846422,-0.663511106652054,0.0,0.6443975892888422
1,-1.0496351708705565,-1.2446691736377344,1,0,0,1,-0.7041197093846422,-0.663511106652054,3023.879,0.6082530348823102
1,-0.8470653154833109,-0.1023270621077361,1,0,0,1,-0.7041197093846422,-0.663511106652054,3228.503,0.7089306373873755
1,-0.0367858939343287,1.0400150494222622,1,0,0,0,-0.7041197093846422,-0.663511106652054,14581.86,0.6888838043503088
1,-0.4419256047088198,-0.1023270621077361,1,0,0,1,-0.7041197093846422,-0.663511106652054,7693.4,0.7198352528027139
1,-0.1380708216279514,0.6592343455789293,1,0,0,0,-0.7041197093846422,-0.663511106652054,10747.35,0.6548389845313606
1,-0.4419256047088198,0.2784536417355966,1,0,0,1,-0.7041197093846422,-0.663511106652054,0.0,0.747403195165091
1,-0.340640677015197,0.2784536417355966,1,0,0,1,-0.7041197093846422,-0.663511106652054,1991.4,0.7499175019980688
1,-0.9483502431769336,-0.1023270621077361,1,0,0,1,-0.7041197093846422,-0.663511106652054,11163.17,0.706165713700021
1,-0.2393557493215742,0.2784536417355966,1,0,0,1,-0.7041197093846422,-0.663511106652054,9897.049,0.7524150722835965
1,-0.0367858939343287,-0.1023270621077361,0,1,0,1,-0.7041197093846422,-0.663511106652054,11142.87,0.24634511930788486
1,-1.0496351708705565,-0.1023270621077361,1,0,0,1,-0.7041197093846422,-0.663511106652054,16218.04,0.7033855144784955
1,-0.340640677015197,0.2784536417355966,1,0,0,1,-0.7041197093846422,-0.663511106652054,995.7002,0.7499175019980688
1,-1.0496351708705565,-0.1023270621077361,1,0,0,1,-0.7041197093846422,-0.663511106652054,0.0,0.7033855144784955
1,2.09019758763175,-2.3870112851677328,1,0,0,1,-0.7041197093846422,-0.663511106652054,6551.592,0.606041626531635
1,-0.7457803877896881,0.6592343455789293,1,0,0,0,-0.7041197093846422,-0.663511106652054,0.0,0.6365001252777339
1,-0.2393557493215742,0.6592343455789293,1,0,0,0,-0.7041197093846422,-0.663511106652054,3191.753,0.6518125971720033
1,-0.4419256047088198,0.6592343455789293,1,0,1,0,-0.7041197093846422,-0.663511106652054,5911.551,0.4531972128308243
1,-0.340640677015197,-0.1023270621077361,1,0,0,1,-0.7041197093846422,-0.663511106652054,0.0,0.7225220912316374
1,-0.6444954600960654,0.6592343455789293,1,0,0,0,-0.7041197093846422,-0.663511106652054,1254.582,0.6395860132571008
1,-0.8470653154833109,-0.4831077659510688,0,0,0,1,-0.7041197093846422,-0.663511106652054,13188.83,0.11275540346320977
1,-1.0496351708705565,-0.8638884697944016,1,0,0,1,-0.7041197093846422,-0.663511106652054,8061.485,0.6413297956640158
1,-0.9483502431769336,-0.8638884697944016,0,1,1,1,-0.7041197093846422,-0.663511106652054,2787.96,0.09039312407326852
1,-0.7457803877896881,0.2784536417355966,1,0,0,1,-0.7041197093846422,-0.663511106652054,3972.54,0.739760453409392
1,-1.0496351708705565,-0.8638884697944016,1,0,0,1,-0.7041197093846422,-0.663511106652054,0.0,0.6413297956640158
1,-1.0496351708705565,-0.4831077659510688,1,0,0,1,-0.7041197093846422,-0.663511106652054,0.0,0.6731146524528434
1,-0.4419256047088198,0.6592343455789293,1,0,0,0,-0.7041197093846422,-0.663511106652054,4843.176,0.6457231110249492
1,-0.9483502431769336,0.2784536417355966,1,0,0,1,-0.7041197093846422,-0.663511106652054,0.0,0.7345827723556057
1,-0.2393557493215742,0.6592343455789293,1,0,0,0,-0.7041197093846422,-0.663511106652054,2348.973,0.6518125971720033
1,-1.0496351708705565,-0.1023270621077361,1,0,0,1,-0.7041197093846422,-0.663511106652054,0.0,0.7033855144784955
1,0.9760633830018992,-0.4831077659510688,1,0,0,1,-0.7041197093846422,-0.663511106652054,1067.506,0.728998735827641
1,-0.5432105324024425,0.2784536417355966,0,0,0,1,-0.7041197093846422,-0.663511106652054,1048.432,0.14925170888607162
1,-1.0496351708705565,-0.8638884697944016,1,0,0,1,-0.7041197093846422,-0.663511106652054,0.0,0.6413297956640158
1,0.7734935276146535,-0.1023270621077361,1,0,0,1,-0.7041197093846422,-0.663511106652054,4666.236,0.7510069559681591
1,-0.0367858939343287,0.2784536417355966,1,0,0,1,-0.7041197093846422,-0.663511106652054,549.2984,0.7573597902002462
1,0.064499033759294,-0.4831077659510688,1,0,0,1,-0.7041197093846422,-0.663511106652054,10694.29,0.7045978289369236
1,-0.0367858939343287,0.2784536417355966,1,0,0,1,-0.7041197093846422,-0.663511106652054,0.0,0.7573597902002462
1,-0.4419256047088198,-1.2446691736377344,0,0,0,1,-0.7041197093846422,-0.663511106652054,0.0,0.0918058061153229
1,1.7863428045508811,-2.0062305813244,1,0,1,1,-0.7041197093846422,-0.663511106652054,8546.715,0.43628082329258316
1,0.1657839614529168,1.0400150494222622,1,0,0,0,-0.7041197093846422,-0.663511106652054,7479.656,0.694582315683848
1,-0.0367858939343287,-0.4831077659510688,1,0,0,1,-0.7041197093846422,-0.663511106652054,0.0,0.7018090590553715
1,-0.9483502431769336,-1.625449877481067,1,0,0,1,-0.7041197093846422,-0.663511106652054,0.0,0.5774151570987631
1,-0.2393557493215742,0.6592343455789293,1,0,0,0,-0.7041197093846422,-0.663511106652054,11965.81,0.6518125971720033
1,0.064499033759294,1.801576457108928,1,0,0,0,-0.7041197093846422,-0.663511106652054,9598.541,0.7484946163025342
1,-0.5432105324024425,0.6592343455789293,1,0,0,0,-0.7041197093846422,-0.663511106652054,18678.08,0.6426604114600136
1,-0.6444954600960654,-0.4831077659510688,1,0,0,1,-0.7041197093846422,-0.663511106652054,0.0,0.6847644234830301
1,1.2799181660827674,0.2784536417355966,1,0,0,1,-0.7041197093846422,-0.663511106652054,23005.6,0.787841987854995
1,-0.5432105324024425,0.2784536417355966,1,0,0,1,-0.7041197093846422,-0.663511106652054,6456.697,0.7448722097002207
1,-0.2393557493215742,0.6592343455789293,1,0,0,0,-0.7041197093846422,-0.663511106652054,0.0,0.6518125971720033
1,-0.9483502431769336,0.6592343455789293,1,0,0,0,-0.7041197093846422,-0.663511106652054,2321.107,0.630294733504153
1,1.077348310695522,0.6592343455789293,0,0,0,0,-0.7041197093846422,-0.663511106652054,4941.849,0.11803132743157291
1,-0.0367858939343287,1.0400150494222622,1,0,0,0,-0.7041197093846422,-0.663511106652054,0.0,0.6888838043503088
1,1.077348310695522,0.2784536417355966,1,0,0,1,-0.7041197093846422,-0.663511106652054,0.0,0.7833407556043309
1,-0.4419256047088198,-0.8638884697944016,0,1,0,1,-0.7041197093846422,-0.663511106652054,3881.284,0.1893896603375718
1,-0.1380708216279514,0.2784536417355966,1,0,0,1,-0.7041197093846422,-0.663511106652054,17230.96,0.7548958518427576
1,-0.6444954600960654,0.6592343455789293,0,0,0,0,-0.7041197093846422,-0.663511106652054,8048.603,0.0963580351254118
1,-1.0496351708705565,-0.1023270621077361,1,0,0,1,-0.7041197093846422,-0.663511106652054,0.0,0.7033855144784955
1,-0.2393557493215742,0.2784536417355966,1,0,0,1,-0.7041197093846422,-0.663511106652054,0.0,0.7524150722835965
1,-0.6444954600960654,0.6592343455789293,1,0,0,0,-0.7041197093846422,-0.663511106652054,9983.784,0.6395860132571008
1,-0.2393557493215742,0.6592343455789293,0,0,0,0,-0.7041197093846422,-0.663511106652054,5587.503,0.10111342305586964
1,-0.9483502431769336,-0.4831077659510688,1,0,0,1,-0.7041197093846422,-0.663511106652054,4482.845,0.6760479077282608
1,-0.2393557493215742,-0.1023270621077361,1,0,0,1,-0.7041197093846422,-0.663511106652054,0.0,0.7251929993557489
1,0.3683538168401624,-0.4831077659510688,0,1,0,1,-0.7041197093846422,-0.663511106652054,26817.6,0.2304240614587855
1,-0.340640677015197,-0.1023270621077361,1,0,0,1,-0.7041197093846422,-0.663511106652054,0.0,0.7225220912316374
1,-0.1380708216279514,-0.1023270621077361,1,0,0,1,-0.7041197093846422,-0.663511106652054,9265.788,0.7278478821202793
1,-0.2393557493215742,0.2784536417355966,1,0,0,1,-0.7041197093846422,-0.663511106652054,485.2298,0.7524150722835965
1,-0.9483502431769336,0.2784536417355966,1,0,0,1,-0.7041197093846422,-0.663511106652054,4814.627,0.7345827723556057
